processor,processor_description,file_name
"['4410Y', '6442Y', '5411N', '5416S', '4416+', '6426Y', '5418Y', '6416H', '6438Y+', '6418H', '3408U', '6438N', '6448H', '5418N', '6430', '6414U', '6421N', '6454S', '5420+', '6448Y']","['Intel Xeon-Gold 6430 2.1GHz 32-core 270W Processor for HPE P49614-B21', 'Intel Xeon-Silver 4410Y 2.0GHz 12-core 150W Processor for HPE P49610-B21', 'Intel Xeon-Gold 5420+ 2.0GHz 28-core 205W Processor for HPE P49613-B21', 'Intel Xeon-Gold 6438Y+ 2.0GHz 32-core 205W Processor for HPE P49615-B21', 'Intel Xeon-Gold 6442Y 2.6GHz 24-core 225W Processor for HPE P49599-B21', 'Intel Xeon-Gold 6416H 2.2GHz 18-core 165W Processor for HPE P49620-B21', 'Intel Xeon-Gold 6454S 2.2GHz 32-core 270W Processor for HPE P49654-B21', 'Intel Xeon-Gold 5418N 1.8GHz 24-core 165W Processor for HPE P49640-B21', 'Intel Xeon-Bronze 3408U 1.8GHz 8-core 125W Processor for HPE P49617-B21', 'Intel Xeon-Gold 6421N 1.8GHz 32-core 185W Processor for HPE P49641-B21', 'CTO server will populate necessary fan kits per system thermal requirements and processor models . Processor Please select one or two matching processors. 4th Generation Intel Xeon-Gold 6', 'Intel Xeon-Gold 5416S 2.0GHz 16-core 150W Processor for HPE P49653-B21', 'Intel Xeon-Gold 6448H 2.4GHz 32-core 250W Processor for HPE P49622-B21', 'Intel Xeon-Gold 6448Y 2.1GHz 32-core 225W Processor for HPE P49600-B21', 'Intel Xeon-Gold 5411N 1.9GHz 24-core 165W Processor for HPE P49639-B21', 'Intel Xeon-Gold 5418Y 2.0GHz 24-core 185W Processor for HPE P49612-B21', 'Intel Xeon-Gold 6438N 2.0GHz 32-core 205W Processor for HPE P49638-B21', 'Intel Xeon-Gold 6414U 2.0GHz 32-core 250W Processor for HPE P49619-B21', 'Intel Xeon-Gold 6426Y 2.5GHz 16-core 185W Processor for HPE P49598-B21', 'Intel Xeon-Silver 4416+ 2.0GHz 20-core 165W Processor for HPE P49611-B21', 'Intel Xeon-Gold 6418H 2.1GHz 24-core 185W Processor for HPE P49621-B21']",HPE ProLiant DL360 Gen11 Carrier Grade Supplement a50007021enw.pdf
"['EPYC-9254', 'EPYC-9534', 'EPYC-9174F', 'EPYC-9184X', 'EPYC-9224', 'EPYC-9554', 'EPYC-9384X', 'EPYC-9274F', 'EPYC-9684X', 'EPYC-9654', 'EPYC-9634', 'EPYC-9734', 'EPYC-9474F', 'EPYC-9454', 'EPYC-9334', 'EPYC-9374F', 'EPYC-9354', 'EPYC-9124', 'EPYC-9754']","['EPYC 9224 24 2.5 GHz 3.7 GHz 3TB 200W 64MB 4800MT/s', 'AMD EPYC 9184X 3.55GHz 16-core 320W Processor for HPE P63491-B21', 'AMD EPYC 9534 2.45GHz 64-core 280W FIO Processor for HPE DX P60037-B21', 'EPYC 9734 112 2.2 GHz 3.0 GHz 3TB 340W 256MB 4800MT/s', 'EPYC 9384X 32 3.1 GHz 3.9 GHz 3TB 320W 768MB 4800MT/s', 'AMD EPYC 9124 2.7GHz 16-core 240W FIO Processor for HPE DX P60040-B21', 'AMD EPYC 9374F 3.85GHz 32-core 320W FIO Processor for HPE DX P60045-B21', 'EPYC 9654 96 2.4 GHz 3.7 GHz 3TB 360W 384MB 4800MT/s', 'AMD EPYC 9254 2.9GHz 24-core 200W FIO Processor for HPE DX P60043-B21', 'AMD EPYC 9354 3.25GHz 32-core 280W FIO Processor for HPE DX P60039-B21', 'AMD EPYC 9384X 3.1GHz 32-core 320W Processor for HPE P63492-B21', 'EPYC 9274F 24 4.05 GHz 4.3 GHz 3TB 320W 256MB 4800MT/s', 'AMD EPYC 9684X 2.55GHz 96-core 400W Processor for HPE P63493-B21', 'EPYC 9634 84 2.25 GHz 3.7 GHz 3TB 290W 384MB 4800MT/s', 'AMD EPYC 9274F 4.05GHz 24-core 320W FIO Processor for HPE P60046-B21', 'EPYC 9184X 16 3.55 GHz 4.2 GHz 3TB 320W 768MB 4800MT/s', 'EPYC 9354 32 3.25 GHz 3.8 GHz 3TB 280W 256MB 4800MT/s', 'EPYC 9754 128 2.25 GHz 3.1 GHz 3TB 360W 256MB 4800MT/s', 'AMD EPYC 9554 3.1GHz 64-core 360W FIO Processor for HPE DX P60038-B21', 'AMD EPYC 9634 2.25GHz 84-core 290W FIO Processor for HPE DX P60041-B21', 'AMD EPYC 9474F 3.6GHz 48-core 360W FIO Processor for HPE DX P60042-B21', 'EPYC 9374F 32 3.85 GHz 4.3 GHz 3TB 320W 256MB 4800MT/s', 'AMD EPYC 9454 2.75GHz 48-core 290W FIO Processor for HPE DX P60044-B21', 'EPYC 9254 24 3.9 GHz 4.15 GHz 3TB 200W 128MB 4800MT/s', 'EPYC 9474F 48 3.6 GHz 4.1 GHz 3TB 360W 256MB 4800MT/s', 'EPYC 9534 64 2.45 GHz 3.7 GHz 3TB 280W 256MB 4800MT/s', 'EPYC 9334 32 2.7 GHz 3.9 GHz 3TB 210W 128MB 4800MT/s', 'AMD EPYC 9174F 4.1GHz 16-core 320W FIO Processor for HPE DX P60036-B21', 'AMD EPYC 9654 2.4GHz 96-core 360W FIO Processor for HPE DX P60035-B21', 'EPYC 9124 16 3.0 GHz 3.7 GHz 3TB 200W 64MB 4800MT/s', 'EPYC 9684X 96 2.55 GHz 3.7 GHz 3TB 400W 1150MB 4800MT/s', 'AMD EPYC 9224 2.5GHz 24-core 200W FIO Processor for HPE DX P60048-B21', 'EPYC 9554 64 3.1 GHz 3.75 GHz 3TB 360W 256MB 4800MT/s', 'EPYC 9174F 16 4.1 GHz 4.4 GHz 3TB 320W 256MB 4800MT/s', 'EPYC 9454 48 2.75 GHz 3.8 GHz 3TB 290W 256MB 4800MT/s']",HPE ProLiant DX385 Gen11 QuickSpecs_20260522113016.pdf
nan,"['Intel X3.6GHz/800-2MB ML350G4p FIO BASE 370515-L21', 'Intel Xeon Processor 3.0 GHz standard (up to 2 supported)', 'Intel Xeon Processor 3.2 GHz standard (up to 2 supported)', 'Intel Xeon 3.2 GHz-2MB Processor Option Kit 382182-B21', 'Intel Xeon 3.0 GHz-2MB Processor Option Kit 382184-B21', 'Intel Xeon 3.0 GHz processor standard (up to 2 supported)', 'Intel Xeon 3.4 GHz processor standard (up to 2 supported)', 'Intel X3.2GHz/800-2MB ML350G4p FIO BASE 382182-L21', 'Intel Xeon Processor 3.4 GHz standard (up to 2 supported)', 'Intel Xeon 3.4 GHz-2MB Processor Option Kit 382180-B21', 'Xeon Processor 3.0 GHz/800-2MB L2', 'Xeon Processor 3.2 GHz/800-2MB L2', 'Intel Xeon 3.2 GHz processor standard (up to 2 supported)', 'Intel Xeon 3.6 GHz-2MB Processor Option Kit 370515-B21', 'Intel X3.4GHz/800-2MB ML350G4p FIO BASE 382180-L21']",HP ProLiant ML350 Generation 4p (G4p) c04284160.pdf
nan,"['Intel Xeon 3.2-GHz/533-2M cache Processor Kit (option)', 'Intel Xeon 3.2-GHz/533-1M cache Processor Kit (option)']",HP ProLiant BL30p Server Blade c04140252.pdf
['512K'],"['Pentium III 512K Processor Option Kit 401268-B21', 'Intel Pentium III processor 500 MHz', 'Pentium III processor 500 MHz', 'Pentium III processor 550 MHzIntel', 'Intel Pentium III processor 600 MHz, 550 MHz or 500 MHz (dual processor capability)', 'Pentium III 512K Processor Option Kit 124779-B21', 'Intel Pentium III processor 550 MHz']",Compaq ProLiant 1600 Pentium III Models c04282137.pdf
nan,"['Intel Pentium II Processor (450-MHz Models)', 'Intel Pentium II 450-MHz processor (dual processor capability)']",Compaq ProLiant 800 Pentium II Models c04283501.pdf
"['E5645', 'X5690', 'X5670', 'L5630', 'E5640', 'X5680', 'L5640', 'E5603', 'X5650', 'X5687', 'E5506', 'X5675', 'E5649', 'X5672', 'X5660', 'E5606', 'E5630', 'E5620']","['Intel® Xeon® E5640 (2.66GHz/4-core/12MB/80W, DDR3-1066, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® E5630 (2.53GHz/4-core/12MB/80W) Processor Kit 587478-B21', 'Intel® Xeon® X5672 (3.20GHz/4-core/12MB/95W, DDR3-1333, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® E5606 (2.13GHz/4-core/8MB/80W, DDR3-1066) Processor', 'HP ProLiant DL380 G7 X5650 2P 12GB-R P410i/1GB FBWC 8 SFF 750W RPS Perf IC Svr  Processor(s) Two of the following depending on Model (2) Intel® Xeon® X5690 (3.46GHz/6-core/12MB/130W), DDR3-1333, HT, Turbo 1/1/2/2) Processors (2)', 'Intel® Xeon® X5650 (2.66GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processors', 'Intel® Xeon® L5630 (2.13GHz/4-core/12MB/40W) Processor Kit 587505-B21', 'Intel® Xeon® L5630 (2.13GHz/4-core/12MB/40W, DDR3-1066, HT, Turbo 1/1/2/2)', 'Intel® Xeon® X5672 (3.20GHz/4-core/12MB/95W) Processor Kit 633416-B21', 'Intel® Xeon® E5645 (2.40GHz/6-core/12MB/80W) Processor Kit 633420-B21', 'Intel® Xeon® X5670 (2.93GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processor', 'HP DL380 G7 Intel® Xeon® X5690 (3.46GHz/6-core/12MB/130W) Processor Kit 633410-B21', 'HP ProLiant DL380 G7 E5606 1P 4GB-R P410i/ZM 8 SFF 460W PS Server  Processor(s) (1) Intel® Xeon® E5606 (2.13GHz/4-core/8MB/80W, DDR3-1066)', 'Intel® Xeon® E5630 (2.53GHz/4-core/12MB/80W) FIO Processor Kit 587478-L21', 'Intel® Xeon® E5606 (2.13GHz/4-core/8MB/80W) Processor Kit 633442-B21', 'Intel® Xeon® E5649 (2.53GHz/6-core/12MB/80W) FIO Processor Kit 633418-L21', 'Intel® Xeon® E5645 (2.40GHz/6-core/12MB/80W) FIO Processor Kit 633420-L21', 'Intel® Xeon® X5687 (3.60GHz/4-core/12MB/130W) FIO Processor Kit 633412-L21', '9356EN 3-Year', 'Intel® Xeon® E5620 (2.40GHz/4-core/12MB/80W, DDR3-1066, HT, Turbo 1/1/2/2)', 'Intel® Xeon® X5650 (2.66GHz/6-core/12MB/95W) Processor Kit 587482-B21', 'Intel® Xeon® X5675 (3.06GHz/6-core/12MB/95W) Processor Kit 633414-B21', 'Intel® Xeon® E5620 (2.40GHz/4-core/12MB/80W) Processor Kit 587476-B21', 'Intel® Xeon® L5640 (2.26GHz/6-core/12MB/60W) Processor Kit 587507-B21', 'Intel® Xeon® E5630 (2.53GHz/4-core/12MB/80W, DDR3-1066, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® X5660 (2.80GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processors (2)', 'HP DL380 G7 Intel® Xeon® X5690 (3.46GHz/6-core/12MB/130W) FIO Processor Kit 633410-L21', 'Intel® Xeon® E5603 (1.60GHz/4-core/4MB/80W) Processor Kit 633444-B21', 'Intel® Xeon® X5660 (2.80GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processor', 'Intel® Xeon® X5687 (3.60GHz/4-core/12MB/130W, DDR3-1333, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® E5506 (2.13 GHz/4-core/4MB/80W, DDR3-800) Processor', 'Intel® Xeon® X5650 (2.66GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processor', 'Intel® Xeon® E5603 (1.60GHz/4-core/4MB/80W) FIO Processor Kit 633444-L21', 'Intel® Xeon® E5649 (2.53GHz/6-core/12MB/80W, DDR3-1333, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® X5670 (2.93GHz/6-core/12MB/95W) Processor Kit 587493-B21', 'Intel® Xeon® E5645 (2.40GHz/6-core/12MB/80W, DDR3-1333, HT, Turbo 1/1/2/3) Processor', 'Intel® Xeon® X5675 (3.06GHz/6-core/12MB/95W, DDR3-1333, HT, Turbo 2/2/3/3) Processor', 'Xeon 5600 series processors, the default memory speed is 1333MHz with either one or two DIMMs per channel. For G6 and G7 servers using Xeon 5500 series processors, an RBSU option is available to disable 1333MHz operation (which will result in 1067MHz operation).', 'Intel® Xeon® X5680 (3.33GHz/6-core/12MB/130W, DDR3-1333, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® processor 5600 series processors. 604504-B21', 'Intel® Xeon® X5660 (2.80GHz/6-core/12MB/95W) Processor Kit 587491-B21', 'Intel® Xeon® X5687 (3.60GHz/4-core/12MB/130W) Processor Kit 633412-B21', 'Intel® Xeon® E5620 (2.40GHz/4-core/12MB/80W, DDR3-1066, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® E5649 (2.53GHz/6-core/12MB/80W) Processor Kit 633418-B21', 'Intel® Xeon® E5640 (2.66GHz/4-core/12MB/80W) Processor Kit 587480-B21', 'Intel® Xeon® processor 5600 series processors. 604506-B21', 'PCI Express RISC processor core running at 250MHz', 'Intel® Xeon® E5645 (2.40GHz/6-core/12MB/80W, DDR3-1333, HT, Turbo 1/1/2/3)', 'Intel® Xeon® X5672 (3.20GHz/4-core/12MB/95W) FIO Processor Kit 633416-L21', 'Intel® Xeon® E5606 (2.13GHz/4-core/8MB/80W) FIO Processor Kit 633442-L21', 'Intel® Xeon® E5603 (1.60GHz/4-core/4MB/80W, DDR3-1066) Processor', 'Intel® Xeon® L5640 (2.26GHz/6-core/12MB/60W, DDR3-1333, HT, Turbo 2/2/3/3/4/4) Processor Quad-Core Processors', 'Intel® Xeon® L5630 (2.13GHz/4-core/12MB/40W, DDR3-1066, HT, Turbo 1/1/2/2) Processor', 'Intel® Xeon® X5675 (3.06GHz/6-core/12MB/95W) FIO Processor Kit 633414-L21']",HP ProLiant DL380 Generation 7 G7 QuickSpecs_20260522113720.pdf
nan,nan,HPE Synergy Frame Link Module a00030303enw.pdf
nan,nan,HPE Edgeline EL8000 Converged Edge System a00067727enw.pdf
"['6128', '6126', '4108', '5120', '5118', '6148', '5122', '3106', '6152', '6134', '6140', '6142', '4116', '3104', '6144', '4112', '6130', '4114', '6138', '4110', '6136', '5115']","['Gold 5122 Processor 3.6 GHz 4 16.50MB 105W 2 @ 10.4 GT/s 2666 MT/s 768GB', 'Gold 6140 Processor 2.3 GHz 18 24.75MB 140W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Intel Xeon-Gold 6148 (2.4GHz/20-core/150W) FIO Proces sor Kit P01747-L21', 'Intel® Xeon® Processor Scalable Family Gold Processors Intel Xeon Models CPU Frequency Cores L3 Cache Power UPI DDR4 Mamey per socket', 'Gold 6148 Processor 2.4 GHz 20 27.50MB 150W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Gold 6130 Processor 2.1 GHz 16 22.00MB 125W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'HPE CL Intel Xeon-Gold 6140 (2.3GHz/18-core/140W) FIO Processor Kit P01904-L21', 'Intel Xeon-Gold 6130 (2.1GHz/16-core/1 25W) FIO Processor Kit P01902-L21', 'Intel Xeon-Silver 4114 (2.2GHz/10-core/85W) FIO Processor Kit P01898-L21', 'Intel Xeon-Gold 5115 (2.4GHz/10-core/105W) FIO Processor Kit P01795-L21', 'Intel Xeon-Silver 4108 (1.8GHz/8-core/85W) FIO Processor Kit P01896-L21', 'Gold 6128 Processor 3.4 GHz 6 19.25MB 115W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Gold 5120 Processor 2.2 GHz 14 19.25MB 105W 2 @ 10.4 GT/s 2400 MT/s 768GB', 'Gold 5118 Processor 2.3 GHz 12 16.50MB 105W 2 @ 10.4 GT/s 2400 MT/s 768GB', 'Silver 4112 Processor 2.6 GHz 4 8.25MB 85W 2 @ 9.6 GT/s 2400 MT/s 768GB', 'Intel Xeon-Gold 6134 (3.2GHz/8-core/130W) FIO Processor Kit P01906-L21', 'Intel Xeon-Gold 6138 (2.0GHz/20-core/125W) FIO Processor Kit P01903-L21', 'Gold 6138 Processor 2.0 GHz 20 27.50MB 125W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Intel® Xeon® Processor Scalable Family Broze Series , Silver Series and Gold Series 2666 MHz', 'Intel Xeon-Gold 5122 (3.6GHz/4-core/105W) FIO Processor Kit P01741-L21', 'Intel Xeon-Gold 6152 (2.1GHz/22-core/140W) FIO Processor Kit P01905-L21', 'Intel Xeon-Gold 6142 (2.6GHz/16-core/150W) FIO Processor Kit P01746-L21', 'Intel Xeon-Gold 6144 (3.5GHz/8-core/150W) FIO Processor Kit P01743-L21', 'Intel Xeon-Gold 5118 (2.3GHz/12-core/105W) FIO Processor Kit P01900-L21', 'Silver 4108 Processor 1.8 GHz 8 11.00MB 85W 2 @ 9.6 GT/s 2400 MT/s 768GB', 'Intel Xeon-Gold 5120 (2.2GHz/14-core/105W) FIO Processor Kit P01901-L21', 'Silver 4116 Processor 2.1 GHz 12 16.50MB 85W 2 @ 9.6 GT/s 2400 MT/s 768GB', 'Intel Xeon-Gold 6126 (2.6GHz/12-core/125W) FIO Processor Kit P01744-L21', 'HPE CL Intel Xeon-Bronze 3106 (1.7GHz/8-core/85W) FIO Processor Kit P01895-L21', 'Bronze 3104 Processor 1.7 GHz 6 8.25MB 85W 2 @ 9.6 GT/s 2133 MT/s 768GB', 'HPE Processor Gold Processors – In stock', 'Gold 6126 Processor 2.6 GHz 12 19.25MB 125W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Gold 6134 Processor 3.2 GHz 8 24.75MB 130W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Intel Xeon-Gold 6136 (3.0GHz/12-core/150W) FIO Processor Kit P01745-L21', 'Intel Xeon-Silver 4116 (2.1GHz/12-core/85W) FIO Processor Kit P01899-L21', 'Bronze 3106 Processor 1.7 GHz 8 11.00MB 85W 2 @ 9.6 GT/s 2133 MT/s 768GB', 'Gold 6144 Processor 3.5 GHz 8 24.75MB 150W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Silver-4100 Series-2 Socket supports 2UPI @ 9.6 GT/s, 6-Channel DDR4 @ 2400 MHz providing up to 768 GB memory capacity. Intel Turbo Boost Technology, Intel Hyper-Threading Technology, Intel AVX-512(1x 512-bit FMA), 48 lanes PCIe 3.0, standard RAS supp orted. Bronze Processors', 'Gold 6136 Processor 3.0 GHz 12 24.75MB 150W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Intel Xeon-Silver 4110 (2.1GHz/8-core/85W) FIO Processor Kit P01897-L21', 'Intel Xeon-Silver 4112 (2.6GHz/4-core/85W) FIO Processor Kit P01794-L21', 'Silver 4110 Processor 2.1 GHz 8 11.00MB 85W 2 @ 9.6 GT/s 2400 MT/s 768GB', 'Bronze-3100 Series-2 Socket supports 2UPI @ 9.6 GT/s, supports 6-Channel DDR4 @ 2133 MHz providing up to 768GB memory capacity. Intel AVX-512(1x 512-bit FMA), 48 lanes PCIe 3.0, standard RAS supported.', 'Gold 6142 Processor 2.6 GHz 16 22.00MB 150W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Silver 4114 Processor 2.2 GHz 10 13.75MB 85W 2 @ 9.6 GT/s 2400 MT/s 768GB', 'Gold 6152 Processor 2.1 GHz 22 30.25MB 140W 3 @ 10.4 GT/s 2666 MT/s 768GB', 'Intel Xeon-Gold 6128 (3.4GHz/6-core/115W) FIO Processor Kit P01742-L21', 'Intel Xeon-Bronze 3104 (1.7GHz/6-core/85W) FIO Processor Kit P01894-L21', 'Gold 5115 Processor 2.4 GHz 10 13.75MB 85W 2 @ 10.4 GT/s 2400 MT/s 768GB']",HPE Cloudline CL2100 Gen10 Server QuickSpecs_20260522113637.pdf
