file_name,processor,processor_description
Brocade 16Gb Fibre Channel SAN Switch Module for HPE Synergy c04790440.pdf,,
Brocade 32Gb Fibre Channel SAN Switch Module for HPE Synergy a00062177enw.pdf,,
CacheFS c04168406.pdf,,
Compaq ActiveAnswers Thin Client Server Computing c04283425.pdf,,
Compaq ActiveAnswers for Microsoft SQL Server for Business Operations QuickSpecs_20260522113343.pdf,,
Compaq AlphaServer DS10 (466 MHz) Compaq AlphaStation DS10 (466 MHz) c04282382.pdf,['ALPHA-21264'],"['• Alpha processor module with', 'Alpha 21264 466-MHz processor', 'Main logic board containing Alpha CPU, EV6, 466 MHz']"
Compaq AlphaServer DS10 Compaq AlphaStation DS10 c04282775.pdf,['ALPHA-21264A'],"['Alpha 600-MHz CPU with 2-MB onboard ECC cache', 'Alpha 21264A 600-MHz processor', 'Main logic board containing Alpha CPU, EV6, 600 MHz']"
Compaq AlphaServer DS10L c04282259.pdf,['ALPHA-21264A'],"['1U Alpha processor module with 600-MHz CPU with 2-MB onboard ECC cache', 'Alpha 21264A 600-MHz processor; 2-MB onboard cache']"
Compaq AlphaServer DS20 (Linux Ready) c04282236.pdf,['ALPHA-21264'],"['500-MHz CPU with 4-MB ECC', 'Alpha 21264 6/500 MHz processor']"
Compaq AlphaServer DS20 c04282157.pdf,['ALPHA-21264'],"['500-MHz CPU with 4-MB ECC', 'Alpha 21264 6/500-MHz processor']"
Compaq AlphaServer DS20E Compaq AlphaStation DS20E c04282246.pdf,['ALPHA-21264'],"['Alpha 21264 667-MHz or 833-MHz processor (dual processor capability)', 'Alpha 21264 667-MHz or 833-MHz processor', 'One 6/667-MHz or 6/833-MHz CPU included, one additional CPU supported, second CPU must be the same speed.', 'SMP upgrade includes one 6/667-MHz CPU with 8-MB cache and Tru64 UNIX SMP license', 'SMP upgrade includes one 6/667-MHz CPU with 8-MB cache and OpenVMS SMP license', 'SMP upgrade includes one 6/833-MHz CPU with 8-MB cache and Tru64 UNIX SMP license', 'SMP upgrade includes one 6/833-MHz CPU with 8-MB cache and OpenVMS SMP license']"
Compaq AlphaServer ES40 Certified Configuration for Oracle9i Real Application Clusters on TruCluster Server Software c04284692.pdf,['ALPHA-21264'],"['Rackmounted Compaq AlphaServer ES40, up to two Alpha 21264 833-MHz CPUs, 1-4-GB memory, Clustered, Tru64 UNIX®.', 'Configured and fully tested with two AlphaServer ES40 Model 2 systems, each with EV68 833-MHz processor', 'One or two Alpha 21264 68 833-MHz CPUs each with 8-MB L2 Dual Data Rate Backup Cache', 'One Alpha 21264 833-MHz CPU', 'Two Alpha 21264 833-MHz CPUs']"
