file_name,has_processor,has_processor_description,issue_category,note
Brocade 16Gb Fibre Channel SAN Switch Module for HPE Synergy c04790440.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Brocade 32Gb Fibre Channel SAN Switch Module for HPE Synergy a00062177enw.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
CacheFS c04168406.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Compaq ActiveAnswers Thin Client Server Computing c04283425.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Compaq ActiveAnswers for Microsoft SQL Server for Business Operations QuickSpecs_20260522113343.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Compaq AlphaServer DS10 (466 MHz) Compaq AlphaStation DS10 (466 MHz) c04282382.pdf,True,True,OK,
Compaq AlphaServer DS10 Compaq AlphaStation DS10 c04282775.pdf,True,True,OK,
Compaq AlphaServer DS10L c04282259.pdf,True,True,OK,
Compaq AlphaServer DS20 (Linux Ready) c04282236.pdf,True,True,OK,
Compaq AlphaServer DS20 c04282157.pdf,True,True,OK,
Compaq AlphaServer DS20E Compaq AlphaStation DS20E c04282246.pdf,True,True,OK,
Compaq AlphaServer ES40 Certified Configuration for Oracle9i Real Application Clusters on TruCluster Server Software c04284692.pdf,True,True,OK,
Compaq AlphaServer ES40 Cluster Base System c04282282.pdf,True,True,OK,
Compaq AlphaServer ES40 Compaq AlphaStation ES40 (Linux Ready) c04282380.pdf,True,True,OK,
Compaq AlphaServer ES40 Compaq AlphaStation ES40 c04282237.pdf,True,True,OK,
Compaq AlphaServer ES45 (Linux Ready) c04282839.pdf,True,True,OK,
Compaq AlphaServer ES45 Certified Configuration for Oracle9i Real Application Clusters on TruCluster Server Software c04284693.pdf,True,True,OK,
Compaq AlphaServer GS140 c04282158.pdf,True,True,OK,
Compaq AlphaServer GS160 (731 MHz) c04282280.pdf,True,True,OK,
Compaq AlphaServer GS320 (731 MHz) c04282281.pdf,True,True,OK,
Compaq AlphaServer GS60E c04282194.pdf,True,True,OK,
Compaq AlphaServer GS80 (731 MHz) c04282289.pdf,True,True,OK,
Compaq AlphaServer TS10 c04282917.pdf,True,True,OK,
Compaq AlphaServer TS20TS40 c04283866.pdf,True,True,OK,
Compaq AlphaStation DS20E (Linux Ready) c04282395.pdf,True,True,OK,
Compaq AlphaStation XP1000 (Linux Ready) c04282444.pdf,True,True,OK,
Compaq AlphaStation XP1000 c04282135.pdf,True,True,OK,
Compaq NeoServer 150 c04324508.pdf,True,True,OK,
Compaq ProLiant 1600 Pentium II Models c04282136.pdf,True,True,OK,
Compaq ProLiant 1600 Pentium III Models c04282137.pdf,True,True,OK,
Compaq ProLiant 1850R Pentium II Models c04282148.pdf,True,True,OK,
Compaq ProLiant 1850R Pentium III c04282149.pdf,True,True,OK,
Compaq ProLiant 3000 4-Way Xeon Server Upgrade QuickSpecs_20260522113423.pdf,True,True,OK,
Compaq ProLiant 3000 Pentium II Models QuickSpecs_20260522113418.pdf,True,True,OK,
Compaq ProLiant 3000 Pentium III QuickSpecs_20260522113644.pdf,True,True,OK,
Compaq ProLiant 400 Pentium II Models c04283528.pdf,True,True,OK,
Compaq ProLiant 400 Pentium III Models c04283636.pdf,True,True,OK,
Compaq ProLiant 5500 Pentium II Xeon Models c04282152.pdf,True,True,OK,
Compaq ProLiant 5500 Pentium III Xeon Models c04283485.pdf,True,True,OK,
Compaq ProLiant 6000 Pentium II Xeon Models c04282153.pdf,True,True,OK,
Compaq ProLiant 6000 Pentium III Xeon Models c04283640.pdf,True,True,OK,
"Compaq ProLiant 6000, 6500 and 7000 Pentium II Xeon Server Upgrades c04283388.pdf",False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
Compaq ProLiant 6400R Pentium III Xeon c04282154.pdf,True,True,OK,
Compaq ProLiant 6500 Pentium II Xeon Models c04282155.pdf,True,True,OK,
Compaq ProLiant 6500 Pentium III Xeon Models c04282258.pdf,True,True,OK,
Compaq ProLiant 7000 Pentium II Xeon Models QuickSpecs_20260522113607.pdf,True,True,OK,
Compaq ProLiant 7000 Pentium III Xeon Models c04283634.pdf,True,True,OK,
Compaq ProLiant 800 Pentium II Models c04283501.pdf,True,True,OK,
Compaq ProLiant 800 Pentium III Models c04283638.pdf,True,True,OK,
Compaq ProLiant 8000 QuickSpecs_20260522113348.pdf,True,True,OK,
Compaq ProLiant 8500 Data Center Solution QuickSpecs_20260522113509.pdf,True,True,OK,
Compaq ProLiant 8500 c04282235.pdf,True,True,OK,
Compaq ProLiant CL380 c04282277.pdf,True,True,OK,
Compaq ProLiant DL320 c04283757.pdf,True,True,OK,
Compaq ProLiant DL360 Generation 2 c04283870.pdf,True,True,OK,
Compaq ProLiant DL580 c04282278.pdf,True,True,OK,
Compaq ProLiant DL59064 c04282774.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
Compaq ProLiant E Commerce Servers c04283436.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
Compaq ProLiant ML330 Generation 2 (G2) c04282800.pdf,True,True,OK,
Compaq ProLiant ML330 and ML330e c04283624.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
Compaq ProLiant ML350 1.0 GHz Models with FC PGA c04283775.pdf,True,True,OK,
Compaq ProLiant ML370 Generation 2 (G2) c04282771.pdf,True,True,OK,
Compaq ProLiant ML370 c04282251.pdf,True,True,OK,
Compaq ProLiant ML530 c04282201.pdf,True,True,OK,
Compaq ProLiant ML570 QuickSpecs_20260522113608.pdf,True,True,OK,
Compaq ProLiant ML750 c04282311.pdf,True,True,OK,
Compaq ProLiant ML770 c04282290.pdf,True,True,OK,
Compaq ProLiant Storage System RSOU QuickSpecs_20260522113341.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Compaq ProLiant Storage System U Models UE U2 QuickSpecs_20260522113344.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
Compaq Prosignia 720 Pentium II Models c04375384.pdf,True,True,OK,
Compaq TaskSmart C Series Servers c04282230.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
HHP ProLiant DL160se Generation 6 (G6) c04284464.pdf,True,True,OK,
HP 1224 GB DAT Drive c04282186.pdf,False,False,NOT_A_COMPUTE_PRODUCT,"No processor-related keyword found anywhere in document (likely a storage/networking/switch product with no CPU section) - expected, not a defect."
"HP 9000 Superdome Servers (PA 8600, PA 8700, PA 8800 and PA 8900) c04284013.pdf",True,True,OK,
HP 9000 rp3410 Server c04283131.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP 9000 rp3440 Server c04283185.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP 9000 rp4410 Server c04283255.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP 9000 rp4440 Server c04283184.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP 9000 rp7440 Server c04140237.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP 9000 rp8440 Server c04140619.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP AlphaServer DS15A HP AlphaStation DS15A c04283042.pdf,True,True,OK,
HP AlphaServer DS20L c04282845.pdf,True,True,OK,
HP AlphaServer DS25 HP AlphaStation DS25 c04281756.pdf,True,True,OK,
HP AlphaServer ES45 c04282817.pdf,True,True,OK,
HP AlphaServer GS1280 Systems c04283156.pdf,True,True,OK,
HP AlphaServer GS80 (1224 MHz) c04282925.pdf,True,True,OK,
HP AlphaServer SC45 Non Federated System Maximum Expansion 512 Processors c04282802.pdf,True,True,OK,
"HP AlphaServerAlphaStation ES47 Tower, AlphaServer ES47, and AlphaServer ES80 Systems c04324523.pdf",True,True,OK,
HP Cloudline CL1100 G3 208S Server North America version c04542560.pdf,True,True,OK,
HP Integrity BL860c Server Blade c04140645.pdf,True,True,OK,
HP Integrity BL860c i2 Server Blade c04111681.pdf,True,True,OK,
HP Integrity BL870c Server Blade c04140528.pdf,True,True,OK,
HP Integrity BL870c i2 Server Blade c04111682.pdf,True,True,OK,
HP Integrity BL890c i2 Server Blade c04111605.pdf,True,True,OK,
HP Integrity cx2620 Server c04154421.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx1620 Server c04283216.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx2600 Server c04140930.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx2620 Server c04140857.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx2660 Server c04282556.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx3600 Server c04140688.pdf,True,True,OK,
HP Integrity rx4640 Server c04140904.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx5670 Server c04283036.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
HP Integrity rx6600 Server c04140687.pdf,True,True,OK,
HP Integrity rx7620 Server c04283090.pdf,False,True,REVIEW_DESCRIPTION_ONLY,"Processor description text found, but no short model code could be parsed from it (common for older pre-2010 QuickSpecs that describe processors in prose, e.g. 'Intel Xeon 3.0 GHz processor standard', with no distinct model number). Description is available; processor short-code is not."
