csv_row,csv_file_name,resolved_file_name,file_match_method,status,section_method,matched,not_matched,missing,total_items,missing_processor_values,missing_processor_description_values
2,HPE ProLiant DL380 Gen9 Server QuickSpecs_20260522113818.pdf,HPE ProLiant DL380 Gen9 Server QuickSpecs_20260522113818.pdf,exact,OK,header,95,0,0,95,,
3,HPE ProLiant Compute XD230 QuickSpecs_20260522113026.pdf,HPE ProLiant Compute XD230 QuickSpecs_20260522113026.pdf,exact,OK,header,12,0,0,12,,
4,HPE ProLiant Compute DL380a Gen12 QuickSpecs_20260522113101.pdf,HPE ProLiant Compute DL380a Gen12 QuickSpecs_20260522113101.pdf,exact,OK,header,44,0,0,44,,
5,HPE ProLiant DL380a Gen11 QuickSpecs_20260522113058.pdf,HPE ProLiant DL380a Gen11 QuickSpecs_20260522113058.pdf,exact,OK,header,87,0,0,87,,
6,HPE ProLiant DX4120 Gen11 QuickSpecs_20260522113128.pdf,HPE ProLiant DX4120 Gen11 QuickSpecs_20260522113128.pdf,exact,OK,header,39,0,0,39,,
7,Compaq ProLiant 1600 Pentium II Models c04282136.pdf,Compaq ProLiant 1600 Pentium II Models c04282136.pdf,exact,OK,fallback,8,0,0,8,,
8,Compaq AlphaServer DS20E Compaq AlphaStation DS20E c04282246.pdf,Compaq AlphaServer DS20E Compaq AlphaStation DS20E c04282246.pdf,exact,OK,header,2,0,0,2,,
9,HPE ProLiant Easy Connect Managed Hybrid Servers  North America version QuickSpecs_20260522113447.pdf,HPE ProLiant Easy Connect Managed Hybrid Servers  North America version QuickSpecs_20260522113447.pdf,exact,OK,header,6,0,0,6,,
10,HPE Integrity BL860c i4 Server Blade c04111441.pdf,HPE Integrity BL860c i4 Server Blade c04111441.pdf,exact,OK,header,11,0,0,11,,
11,Compaq ProLiant 1850R Pentium III c04282149.pdf,Compaq ProLiant 1850R Pentium III c04282149.pdf,exact,OK,fallback,5,0,0,5,,
12,HPE Synergy 480 Gen10 Plus Compute Module  Carrier Grade Supplement QuickSpecs_20260522113734.pdf,HPE Synergy 480 Gen10 Plus Compute Module  Carrier Grade Supplement QuickSpecs_20260522113734.pdf,exact,OK,header,25,0,0,25,,
13,HPE ProLiant DX380 Gen11 QuickSpecs_20260522113022.pdf,HPE ProLiant DX380 Gen11 QuickSpecs_20260522113022.pdf,exact,OK,header,90,1,0,91,,
14,HP ProLiant DL180 c04282600.pdf,HP ProLiant DL180 c04282600.pdf,exact,OK,header,8,0,0,8,,
15,HPE Integrity BL860c i6 Server Blade QuickSpecs_20260522113244.pdf,HPE Integrity BL860c i6 Server Blade QuickSpecs_20260522113244.pdf,exact,OK,header,11,0,0,11,,
16,HP ProLiant DL320 Generation 6 QuickSpecs_20260522113847.pdf,HP ProLiant DL320 Generation 6 QuickSpecs_20260522113847.pdf,exact,OK,header,34,0,0,34,,
17,HP ProLiant DL320e Generation 8 Gen8  North America version QuickSpecs_20260522113225.pdf,HP ProLiant DL320e Generation 8 Gen8  North America version QuickSpecs_20260522113225.pdf,exact,OK,header,15,0,0,15,,
18,HPE ProLiant DL560 Generation9 Gen9 QuickSpecs_20260522113836.pdf,HPE ProLiant DL560 Generation9 Gen9 QuickSpecs_20260522113836.pdf,exact,OK,header,42,2,0,44,,
19,HP ProLiant ML530 Generation 2 QuickSpecs_20260522113510.pdf,HP ProLiant ML530 Generation 2 QuickSpecs_20260522113510.pdf,exact,OK,header,5,0,0,5,,
20,HPE ProLiant BL460c Gen9 Server Blade - Carrier Grade Supplement QuickSpecs_20260522113422.pdf,HPE ProLiant BL460c Gen9 Server Blade - Carrier Grade Supplement QuickSpecs_20260522113422.pdf,exact,OK,header,23,0,0,23,,
