server_name,server_url,failure_type,failure_reason,error_message,attempt_number,timestamp
ABIT- I-45D Motherboard,https://www.kingston.com/en/memory/search/model/43050/abit-i-45d-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T10:59:51.438903+00:00
ABIT- AX78 Motherboard,https://www.kingston.com/en/memory/search/model/43051/abit-ax78-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:00:22.641320+00:00
ABIT- AN52 V2.0 Motherboard,https://www.kingston.com/en/memory/search/model/43052/abit-an52-v2-0-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:02:23.999574+00:00
ABIT- AN52V Motherboard,https://www.kingston.com/en/memory/search/model/42808/abit-an52v-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:02:55.185836+00:00
ABIT- A-N68SV Motherboard,https://www.kingston.com/en/memory/search/model/42687/abit-a-n68sv-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:04:56.429645+00:00
ABIT- I-N73H Motherboard,https://www.kingston.com/en/memory/search/model/42703/abit-i-n73h-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:05:27.749525+00:00
ABIT- I-N73HD Motherboard,https://www.kingston.com/en/memory/search/model/42704/abit-i-n73hd-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:07:28.983515+00:00
ABIT- IX38 QuadGT Motherboard,https://www.kingston.com/en/memory/search/model/41854/abit-ix38-quadgt-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:08:00.177438+00:00
ABIT- LG-95Z Motherboard,https://www.kingston.com/en/memory/search/model/35407/abit-lg-95z-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:12:46.890026+00:00
ABIT- IL9 Pro Motherboard,https://www.kingston.com/en/memory/search/model/33763/abit-il9-pro-motherboard,Blocked,Bot-check / CAPTCHA interstitial returned instead of page content,Page title was: 'Just a moment...',1,2026-08-25T11:13:18.162930+00:00
