brand,server_name,server_url,server_model,product_name,server_type,processor,memory,storage,networking,expansion,compatibility,important_configuration_notes,specifications_json,parts_found,status
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,AN9 32X Motherboard,ABIT - AN9 32X Motherboard,Motherboard,"[""AMD Athlon 64 (AM2) Nvidia nForce 590 SLI""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", "".""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""AMD Athlon 64 (AM2) Nvidia nForce 590 SLI""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", "".""]}}",78,extracted
Kingston,ABIT- AB9 Wi-Fi Motherboard,https://www.kingston.com/en/memory/search/model/56829/abit-ab9-wi-fi-motherboard,AB9 Wi-Fi Motherboard,ABIT - AB9 Wi-Fi Motherboard,Motherboard,"[""Intel Core 2 Duo Intel P965"", ""Intel Core 2 Extreme Intel P965"", ""Intel Core 2 Quad Intel P965""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""Intel Core 2 Duo Intel P965"", ""Intel Core 2 Extreme Intel P965"", ""Intel Core 2 Quad Intel P965""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]}}",59,extracted
Kingston,ABIT- IP35P Motherboard,https://www.kingston.com/en/memory/search/model/56830/abit-ip35p-motherboard,IP35P Motherboard,ABIT - IP35P Motherboard,Motherboard,"[""Intel Core 2 Duo Intel P35"", ""Intel Core 2 Extreme Intel P35"", ""Intel Core 2 Quad Intel P35""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", "".""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""Intel Core 2 Duo Intel P35"", ""Intel Core 2 Extreme Intel P35"", ""Intel Core 2 Quad Intel P35""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", "".""]}}",43,extracted
Kingston,ABIT- AN78GV Motherboard,https://www.kingston.com/en/memory/search/model/56832/abit-an78gv-motherboard,AN78GV Motherboard,ABIT - AN78GV Motherboard,Motherboard,"[""AMD Athlon 64 (AM2) Nvidia nForce 720a"", ""AMD Phenom X4 (AM2+) Nvidia nForce 720a""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""AMD Athlon 64 (AM2) Nvidia nForce 720a"", ""AMD Phenom X4 (AM2+) Nvidia nForce 720a""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]}}",55,extracted
Kingston,ABIT- A-S78H Motherboard,https://www.kingston.com/en/memory/search/model/54393/abit-a-s78h-motherboard,A-S78H Motherboard,ABIT - A-S78H Motherboard,Motherboard,"[""AMD Athlon 64 (AM2) AMD 780G"", ""AMD Phenom X4 (AM2+) AMD 780G""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""AMD Athlon 64 (AM2) AMD 780G"", ""AMD Phenom X4 (AM2+) AMD 780G""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]}}",55,extracted
Kingston,ABIT- IX48 GT3 Motherboard,https://www.kingston.com/en/memory/search/model/52707/abit-ix48-gt3-motherboard,IX48 GT3 Motherboard,ABIT - IX48 GT3 Motherboard,Motherboard,"[""Intel Celeron Dual Core Intel X48"", ""Intel Core 2 Duo Intel X48"", ""Intel Core 2 Extreme Intel X48"", ""Intel Core 2 Quad Intel X48"", ""Intel Pentium Dual Core Intel X48""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 1 and 2GB modules or kits.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""Intel Celeron Dual Core Intel X48"", ""Intel Core 2 Duo Intel X48"", ""Intel Core 2 Extreme Intel X48"", ""Intel Core 2 Quad Intel X48"", ""Intel Pentium Dual Core Intel X48""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 1 and 2GB modules or kits.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]}}",45,extracted
Kingston,ABIT- IP43 Motherboard,https://www.kingston.com/en/memory/search/model/52708/abit-ip43-motherboard,IP43 Motherboard,ABIT - IP43 Motherboard,Motherboard,"[""Intel Core 2 Duo Intel P43"", ""Intel Core 2 Extreme Intel P43"", ""Intel Core 2 Quad Intel P43"", ""Intel Pentium Dual Core Intel P43""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules or kits.""]",,"{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""Intel Core 2 Duo Intel P43"", ""Intel Core 2 Extreme Intel P43"", ""Intel Core 2 Quad Intel P43"", ""Intel Pentium Dual Core Intel P43""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules or kits.""]}}",51,extracted
Kingston,ABIT- AN78GS Motherboard,https://www.kingston.com/en/memory/search/model/49199/abit-an78gs-motherboard,AN78GS Motherboard,ABIT - AN78GS Motherboard,Motherboard,"[""AMD Athlon 64 (AM2) Nvidia GeForce 8200"", ""AMD Phenom X4 (AM2+) Nvidia GeForce 8200""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""AMD Athlon 64 (AM2) Nvidia GeForce 8200"", ""AMD Phenom X4 (AM2+) Nvidia GeForce 8200""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using any combination of Kingston's 512MB, 1 and 2GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""DDR2-1066 is supported by AM2+ CPUs only.""]}}",55,extracted
Kingston,ABIT- NF-M2PV Motherboard,https://www.kingston.com/en/memory/search/model/49201/abit-nf-m2pv-motherboard,NF-M2PV Motherboard,ABIT - NF-M2PV Motherboard,Motherboard,"[""AMD Athlon 64 (AM2) Nvidia GeForce 6100"", ""AMD Athlon 64 FX (AM2) Nvidia GeForce 6100"", ""AMD Athlon 64 X2 (AM2) Nvidia GeForce 6100"", ""AMD Opteron (AM2) Nvidia GeForce 6100"", ""AMD Sempron (AM2) Nvidia GeForce 6100""]",Standard: 0 MB (Removable); Maximum: 8 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""2 Socket(s)""]","[""Virtually any configuration up to 8GB can be reached using Kingston's 512MB, 1 and 2GB modules IN PAIRS OR KITS.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""AMD Sempron processors support DDR2-533 and DDR2-667 memory only. DDR2-800 modules are not supported with this processor.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""8 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""2 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""AMD Athlon 64 (AM2) Nvidia GeForce 6100"", ""AMD Athlon 64 FX (AM2) Nvidia GeForce 6100"", ""AMD Athlon 64 X2 (AM2) Nvidia GeForce 6100"", ""AMD Opteron (AM2) Nvidia GeForce 6100"", ""AMD Sempron (AM2) Nvidia GeForce 6100""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 8GB can be reached using Kingston's 512MB, 1 and 2GB modules IN PAIRS OR KITS.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""AMD Sempron processors support DDR2-533 and DDR2-667 memory only. DDR2-800 modules are not supported with this processor.""]}}",80,extracted
Kingston,ABIT- IP45 Pro Motherboard,https://www.kingston.com/en/memory/search/model/49004/abit-ip45-pro-motherboard,IP45 Pro Motherboard,ABIT - IP45 Pro Motherboard,Motherboard,"[""Intel Celeron Dual Core Intel P45"", ""Intel Core 2 Duo Intel P45"", ""Intel Core 2 Extreme Intel P45"", ""Intel Core 2 Quad Intel P45"", ""Intel Pentium Dual Core Intel P45""]",Standard: 0 MB (Removable); Maximum: 4 GB with current Kingston product / 16 GB,Bus Architecture: PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm,,"[""4 Socket(s)""]","[""Virtually any configuration up to 4GB can be reached using any combination of Kingston's 512MB and 1GB modules.""]","[""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]","{""Memory"": {""Standard"": ""0 MB (Removable)"", ""Maximum"": ""4 GB with current Kingston product / 16 GB""}, ""Storage"": {""Bus Architecture"": ""PCI / PCI Express / SSD - SATA 2.5-inch 9.5mm""}, ""Expansions"": {""Details"": [""4 Socket(s)""]}, ""CPU / Chipsets"": {""Details"": [""Intel Celeron Dual Core Intel P45"", ""Intel Core 2 Duo Intel P45"", ""Intel Core 2 Extreme Intel P45"", ""Intel Core 2 Quad Intel P45"", ""Intel Pentium Dual Core Intel P45""]}, ""Upgrade Path"": {""Details"": [""Virtually any configuration up to 4GB can be reached using any combination of Kingston's 512MB and 1GB modules.""]}, ""Important Configuration Notes"": {""Details"": [""MODULES MUST BE ORDERED AND INSTALLED IN PAIRS for Dual Channel mode. Kingston offers 'K2' kit part numbers for Dual Channel mode."", ""Maximum configurations require a 64-bit operating system.""]}}",41,extracted
