brand,server_name,server_url,component_type,component_name,component_model,part_number,capacity,form_factor,component_url,datasheet_url,description,specifications,compatibility,part_specifications_json,status
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,SA400,SA400,SA400S37/240G,240GB,"2.5""",https://www.kingston.com/en/ssd/a400-solid-state-drive,https://www.kingston.com/datasheets/SA400_en.pdf,"SATA Rev 3.0; 500MB/s read, 450MB/s write","Form factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s); Capacities: 240GB, 480GB, 960GB; NAND: 3D; Baseline Performance: Data transfer (ATTO) | up to 500MB/s read and 350MB/s write; Power Consumption: 0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write; Storage temperature: -40°C~85°C; Operating temperature: 0°C~70°C; Dimensions: 100.0mm x 69.9mm x 7.0mm (2.5”); Weight: 41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”); Vibration operating: 2.17G Peak (7–800Hz); Vibration non-operating: 20G Peak (10–2000Hz); Life expectancy: 2 million hours MTBF; Warranty/support: Limited 3-year warranty with free technical support; Total Bytes Written (TBW): 240GB: 80TB | 480GB: 160TB | 960GB: 300TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""SA400"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""240GB"", ""Part Number"": ""SA400S37/240G""}, ""Specifications"": {""Form factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s)"", ""Capacities"": ""240GB, 480GB, 960GB"", ""NAND"": ""3D"", ""Baseline Performance"": ""Data transfer (ATTO) | up to 500MB/s read and 350MB/s write"", ""Power Consumption"": ""0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write"", ""Storage temperature"": ""-40°C~85°C"", ""Operating temperature"": ""0°C~70°C"", ""Dimensions"": ""100.0mm x 69.9mm x 7.0mm (2.5”)"", ""Weight"": ""41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”)"", ""Vibration operating"": ""2.17G Peak (7–800Hz)"", ""Vibration non-operating"": ""20G Peak (10–2000Hz)"", ""Life expectancy"": ""2 million hours MTBF"", ""Warranty/support"": ""Limited 3-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""240GB: 80TB | 480GB: 160TB | 960GB: 300TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,SA400,SA400,SA400S37/480G,480GB,"2.5""",https://www.kingston.com/en/ssd/a400-solid-state-drive,https://www.kingston.com/datasheets/SA400_en.pdf,"SATA Rev 3.0; 500MB/s read, 450MB/s write","Form factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s); Capacities: 240GB, 480GB, 960GB; NAND: 3D; Baseline Performance: Data transfer (ATTO) | up to 500MB/s read and 450MB/s write; Power Consumption: 0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write; Storage temperature: -40°C~85°C; Operating temperature: 0°C~70°C; Dimensions: 100.0mm x 69.9mm x 7.0mm (2.5”); Weight: 41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”); Vibration operating: 2.17G Peak (7–800Hz); Vibration non-operating: 20G Peak (10–2000Hz); Life expectancy: 2 million hours MTBF; Warranty/support: Limited 3-year warranty with free technical support; Total Bytes Written (TBW): 240GB: 80TB | 480GB: 160TB | 960GB: 300TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""SA400"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""480GB"", ""Part Number"": ""SA400S37/480G""}, ""Specifications"": {""Form factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s)"", ""Capacities"": ""240GB, 480GB, 960GB"", ""NAND"": ""3D"", ""Baseline Performance"": ""Data transfer (ATTO) | up to 500MB/s read and 450MB/s write"", ""Power Consumption"": ""0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write"", ""Storage temperature"": ""-40°C~85°C"", ""Operating temperature"": ""0°C~70°C"", ""Dimensions"": ""100.0mm x 69.9mm x 7.0mm (2.5”)"", ""Weight"": ""41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”)"", ""Vibration operating"": ""2.17G Peak (7–800Hz)"", ""Vibration non-operating"": ""20G Peak (10–2000Hz)"", ""Life expectancy"": ""2 million hours MTBF"", ""Warranty/support"": ""Limited 3-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""240GB: 80TB | 480GB: 160TB | 960GB: 300TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,SA400,SA400,SA400S37/960G,960GB,"2.5""",https://www.kingston.com/en/ssd/a400-solid-state-drive,https://www.kingston.com/datasheets/SA400_en.pdf,"SATA Rev 3.0; 500MB/s read, 450MB/s write","Form factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s); Capacities: 240GB, 480GB, 960GB; NAND: 3D; Baseline Performance: Data transfer (ATTO) | up to 500MB/s read and 450MB/s write; Power Consumption: 0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write; Storage temperature: -40°C~85°C; Operating temperature: 0°C~70°C; Dimensions: 100.0mm x 69.9mm x 7.0mm (2.5”); Weight: 41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”); Vibration operating: 2.17G Peak (7–800Hz); Vibration non-operating: 20G Peak (10–2000Hz); Life expectancy: 2 million hours MTBF; Warranty/support: Limited 3-year warranty with free technical support; Total Bytes Written (TBW): 240GB: 80TB | 480GB: 160TB | 960GB: 300TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""SA400"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""960GB"", ""Part Number"": ""SA400S37/960G""}, ""Specifications"": {""Form factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards compatibility to SATA Rev. 2.0 (3Gb/s)"", ""Capacities"": ""240GB, 480GB, 960GB"", ""NAND"": ""3D"", ""Baseline Performance"": ""Data transfer (ATTO) | up to 500MB/s read and 450MB/s write"", ""Power Consumption"": ""0.195W Idle / 0.279W Avg / 0.642W (MAX) Read / 1.535W (MAX) Write"", ""Storage temperature"": ""-40°C~85°C"", ""Operating temperature"": ""0°C~70°C"", ""Dimensions"": ""100.0mm x 69.9mm x 7.0mm (2.5”)"", ""Weight"": ""41g (240-480GB – 2.5”) | 41.9g (960GB – 2.5”)"", ""Vibration operating"": ""2.17G Peak (7–800Hz)"", ""Vibration non-operating"": ""20G Peak (10–2000Hz)"", ""Life expectancy"": ""2 million hours MTBF"", ""Warranty/support"": ""Limited 3-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""240GB: 80TB | 480GB: 160TB | 960GB: 300TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600/256G,256GB,"2.5""",https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB, 2048GB; Controller: SM2259; NAND: 3D TLC; DRAM Cache: Yes; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/500MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write; Dimensions: 100.1mm x 69.85mm x 7mm; Weight: 40g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 150TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""256GB"", ""Part Number"": ""SKC600/256G""}, ""Specifications"": {""Form Factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB, 2048GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""DRAM Cache"": ""Yes"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/500MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write"", ""Dimensions"": ""100.1mm x 69.85mm x 7mm"", ""Weight"": ""40g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""150TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600MS/256G,256GB,mSATA,https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: mSATA; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB; Controller: SM2259; NAND: 3D TLC; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/500MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write; Dimensions: 50.8mm x2 9.85mm x 4.85mm; Weight: 7g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 150TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""mSATA"", ""Capacity"": ""256GB"", ""Part Number"": ""SKC600MS/256G""}, ""Specifications"": {""Form Factor"": ""mSATA"", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/500MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write"", ""Dimensions"": ""50.8mm x2 9.85mm x 4.85mm"", ""Weight"": ""7g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""150TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600/512G,512GB,"2.5""",https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB, 2048GB; Controller: SM2259; NAND: 3D TLC; DRAM Cache: Yes; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/520MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write; Dimensions: 100.1mm x 69.85mm x 7mm; Weight: 40g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 300TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""512GB"", ""Part Number"": ""SKC600/512G""}, ""Specifications"": {""Form Factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB, 2048GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""DRAM Cache"": ""Yes"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/520MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write"", ""Dimensions"": ""100.1mm x 69.85mm x 7mm"", ""Weight"": ""40g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""300TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600MS/512G,512GB,mSATA,https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: mSATA; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB; Controller: SM2259; NAND: 3D TLC; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/520MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write; Dimensions: 50.8mm x2 9.85mm x 4.85mm; Weight: 7g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 300TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""mSATA"", ""Capacity"": ""512GB"", ""Part Number"": ""SKC600MS/512G""}, ""Specifications"": {""Form Factor"": ""mSATA"", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/520MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write"", ""Dimensions"": ""50.8mm x2 9.85mm x 4.85mm"", ""Weight"": ""7g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""300TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600/1024G,1024GB,"2.5""",https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB, 2048GB; Controller: SM2259; NAND: 3D TLC; DRAM Cache: Yes; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/520MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write; Dimensions: 100.1mm x 69.85mm x 7mm; Weight: 40g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 600TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""1024GB"", ""Part Number"": ""SKC600/1024G""}, ""Specifications"": {""Form Factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB, 2048GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""DRAM Cache"": ""Yes"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/520MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write"", ""Dimensions"": ""100.1mm x 69.85mm x 7mm"", ""Weight"": ""40g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""600TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600MS/1024G,1024GB,mSATA,https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: mSATA; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB; Controller: SM2259; NAND: 3D TLC; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/520MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write; Dimensions: 50.8mm x2 9.85mm x 4.85mm; Weight: 7g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 600TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""mSATA"", ""Capacity"": ""1024GB"", ""Part Number"": ""SKC600MS/1024G""}, ""Specifications"": {""Form Factor"": ""mSATA"", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/520MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.08W Idle / 0.1W Avg / 1.2W (MAX) Read / 2.4W (MAX) Write"", ""Dimensions"": ""50.8mm x2 9.85mm x 4.85mm"", ""Weight"": ""7g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""600TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
Kingston,ABIT- AN9 32X Motherboard,https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard,Solid-State Drives,KC600,KC600,SKC600/2048G,2048GB,"2.5""",https://www.kingston.com/en/ssd/kc600-sata-solid-state-drive,https://www.kingston.com/datasheets/KC600_en.pdf,"SATA Rev 3.0; XTS-AES 256-bit encryption, TCG Opal 2.0, eDrive; 3D TLC NAND technology; Up to 550MB/s read, 520MB/s write","Form Factor: 2.5""; Interface: SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s); Capacities: 256GB, 512GB, 1024GB, 2048GB; Controller: SM2259; NAND: 3D TLC; DRAM Cache: Yes; Encrypted: XTS-AES 256-bit encryption; Sequential Read/Write: up to 550/520MB/s; Maximum 4K Read/Write: up to 90,000/80,000 IOPS; Power Consumption: 0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write; Dimensions: 100.1mm x 69.85mm x 7mm; Weight: 40g; Operating temperature: 0°C~70°C; Storage temperature: -40°C~85°C; Vibration operating: 2.17G Peak (7-800Hz); Vibration non-operating: 20G Peak (10-2000Hz); Life expectancy: 2 millions hours MTBF; Warranty/support: Limited 5-year warranty with free technical support; Total Bytes Written (TBW): 1200TB",ABIT- AN9 32X Motherboard,"{""Product"": {""Name"": ""KC600"", ""Component Type"": ""Solid-State Drives""}, ""Variant"": {""Form Factor"": ""2.5\"""", ""Capacity"": ""2048GB"", ""Part Number"": ""SKC600/2048G""}, ""Specifications"": {""Form Factor"": ""2.5\"""", ""Interface"": ""SATA Rev. 3.0 (6Gb/s) – with backwards capability to SATA Rev 2.0 (3Gb/s)"", ""Capacities"": ""256GB, 512GB, 1024GB, 2048GB"", ""Controller"": ""SM2259"", ""NAND"": ""3D TLC"", ""DRAM Cache"": ""Yes"", ""Encrypted"": ""XTS-AES 256-bit encryption"", ""Sequential Read/Write"": ""up to 550/520MB/s"", ""Maximum 4K Read/Write"": ""up to 90,000/80,000 IOPS"", ""Power Consumption"": ""0.06W idle / 0.2W avg / 1.3W (MAX) read / 3.2W (MAX) write"", ""Dimensions"": ""100.1mm x 69.85mm x 7mm"", ""Weight"": ""40g"", ""Operating temperature"": ""0°C~70°C"", ""Storage temperature"": ""-40°C~85°C"", ""Vibration operating"": ""2.17G Peak (7-800Hz)"", ""Vibration non-operating"": ""20G Peak (10-2000Hz)"", ""Life expectancy"": ""2 millions hours MTBF"", ""Warranty/support"": ""Limited 5-year warranty with free technical support"", ""Total Bytes Written (TBW)"": ""1200TB""}, ""Compatibility"": {""Server"": ""ABIT- AN9 32X Motherboard"", ""Server URL"": ""https://www.kingston.com/en/memory/search/model/36475/abit-an9-32x-motherboard""}, ""Status"": {""Status"": ""Available""}}",Available
