category,oem,part_number,DWPD,form_factor,capacity,mfr_part_number,part_description,interface,part_specification,part_url,store
ssd,Cisco1,Micron_5405_MTFD,1,"2.5""",480 GB,16-1002106-01,Micron,5 Gbps,"{'Model': ['UCS-SD480GM1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Inc\t\t\t\t\t'], 'Endurance': ['1324 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class B >=1825 TBW'], 'Flash Technology': ['3D TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102106-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53729&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD480GBM1X-EV,VMware1
ssd,Kingston ,Micron_5406_MTFD,1,"2.1""",19020 GB,16-1102108-01,nan,60 Gbps,"{'Model': ['UCS-SD19TBM1X-EV'], 'Partner Name': ['Cisco1'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Technology Inc\t\t\t\t\t'], 'Endurance': ['5256 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class C >=3504 TBW'], 'Flash': [‘ TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['1920 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102108-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53769&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD19TBM1X-EV,Vwme
ssd,HPE,SSDPF2K6T1O,3,"2.5""",160 GB,16-1901934-01,"Cisco SSD DC P5620 Series (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)",Gen4 x5,"{'Model': ['Cisco SSD DC P5620 SSDPF2KE16T10 (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)'], 'Partner Name': ['Cisco'], 'Device Type': ['NVMe'], 'Vendor Id': ['NVMe'], 'Endurance': ['8700 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [3], 'Interface Speed': ['Gen4 x4'], 'Capacity': ['1600 GB'], 'Form Factor': ['2.5""'], 'VID': ['8086'], 'DID': ['0b60'], 'SVID': ['8086'],  'Product Id': ['SSDPF2KE016T1O'], 'Series': ['D7-P5620'], 'Part Number': ['16-101934-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=54156&persona=live&column=partnerName&order=asc&redirectFrom=Cisco%20SSD%20DC%20P5620%20Series%20SSDPF2KE16T10%20%281.6TB%2C%202.5%22%20U.2%2C%20PN%3A%20UCS-NVME4-1600%2C%20UCSX-NVME4-1600%29,Vwmare
ssd,Cisco2,KPM6XVUG3767667T20  ,3,"2.5""",320 GB,16-1101704-01,nan,12 Gbp,"{'Model': ['UCSX-SD32TK3X-EP'], 'Partner': ['HPE'], 'Device Type': ['SAS'], 'Vendor Id': ['KIOXIA'], 'Endurance': ['17520 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['BiCS'], 'DWPD': [3], 'Interface Speed': ['12 Gbps'], 'Capacity': ['3200 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['KPMVUG3T20  '], 'Series': ['PM6'], 'Part Number': ['16-101704-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=49808&persona=live&column=partnerName&order=asc&redirectFrom=UCSX-SD32TK3X-EP,VMware
ssd,AMD,MTFDDAK484567u80TCB-1AR1ZABYY,1,"2""",4800 GB,16-1001169-01,nan,6 Gpbs,"{'Model': ['UCS-SD480GBMS4-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['ATA'], 'Endurance': ['1300 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class A >=365 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['480 GB'], 'Form Factor': ['2.5""'], 'Product Id': [-1AR1ZABYY'], 'Series': ['5100'], 'Part Number': ['16-101169-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=42999&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD480GBMS4-EV,VMware
hdd,123456,MB8000JE vthhhA,23,"3.5""",800GB,7937201-B21,HP 8TB 12G SAS 7.2K 3.5in 512e SD,2 Gbps,"{'Model': ['HP 8TB 12G SAS 7.2K 3.5in 512e MDL HDD'], 'Partner Name': ['Hewlett Packard Enterprise'], 'Device Type': ['SAS'], 'Vendor Id': ['HPE'], 'Part Number': ['793701-B21'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['8000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Version': ['HPD7'], 'Series': ['MBJ'], 'Product Id': ['MB8000JEQVA']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=40571&persona=live&column=partnerName&order=asc&redirectFrom=HP%208TB%2012G%20SAS%207.2K%203.5in%20512e%20MDL%20HDD,VMware
hdd,SUN,MB014000JYCJV,1,"3.5""",1400GB,"P0953-B21, P09153-K21",HPE 14TB SAS 7.2K LFF DS He SC HDDD,12 Gbps,"{'Model': ['HPE 14TB SAS 7.2K LFF DS He SC HDD'], 'Partner Name': ['Hewlett Packard Enterprise'], 'Device Type': ['SAS'], 'Vendor Id': ['HPE'], 'Part Number': ['P09153-B21, P09153-K21'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['14000GB'], 'RPM': [7200], 'Format': ['512-byte Emulation'], 'Minimum Firmware Version': ['HPD0'], 'Series': ['Exos X18 '], 'Product Id': ['MB014000JYCJV'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=51957&persona=live&column=partnerName&order=asc&redirectFrom=HPE%2014TB%20SAS%207.2K%20LFF%20DS%20He%20SC%20HDD,VMware
hdd,Hewlett Packa Enterprise,MB004000JWFVPP,nan,"3.51""",400GB,872291-00,4TB 12G SAS 7.2K LFF MDL SC DSA HDD,12 Gbps,"{'Model': ['4TB 12G SAS 7.2K LFF MDL SC DS HDD'], 'Partner Name': ['Hewlett Enterprise'], 'Device Type': ['SAS'], 'Vendor Id': ['HP'], 'Part Number': ['872291-002'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['4000GB'], 'RPM': [7200], 'Format': ['512n'], 'Minimum Firmware Version': ['HPD1'], 'Series': ['Tomcat-R SAS (512n)'], 'Product Id': ['MB004000JWFVP']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=41697&persona=live&column=partnerName&order=asc&redirectFrom=4TB%2012G%20SAS%207.2K%20LFF%20MDL%20SC%20DS%20HDD,VMware
hdd,Hewlett Packard Enrise,MB014000JWWUDB,nan,"35""",1400GB,"P09155-B21 ,P09155-H21 ,P09155-K21, P09155-K21",HPE 14TB SAS 7.2K LFF DS He SCC SSD HDD,12 Gbps,"{'Model': ['HPE 14TB SAS 7.2K LFF DS He SC HDD'], 'Partner Name': ['Hewlett Enterprise'], 'Device Type': ['SAS'], 'Vendor Id': ['HPE'], 'Part Number': ['P09155-B21 ,P09155-H21 ,P09155-K21'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['14000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['HPD1'], 'Series': ['Ultrastar DC HC530'], 'Product Id': ['MB014000JWUDB'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com/s/article/87346</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=44874&persona=live&column=partnerName&order=asc&redirectFrom=HPE%2014TB%20SAS%207.2K%20LFF%20DS%20He%20SC%20HDD,VMware
hdd,Hewlett Packard Enterprise,MB006000JWQFVK,nan,"3.5""",40000GB,872290-0001,4TB 12G SAS 7.2K LFF 512e MDL SC DS HDD,12 Gbps,"{'Model': ['4TB 12G SAS 7.2K LFF 512e MDL SC DS HDD'], 'Partner Name': ['Hewlett Packard Enterprise'], 'Device Type': ['SAS'], 'Vendor Id': ['HP'], 'Part Number': ['872290-001'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['4000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['HPD1'], 'Series': [ SAS(512e)'], 'Product Id': ['MB006000JWFVK']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=41700&persona=live&column=partnerName&order=asc&redirectFrom=4TB%2012G%20SAS%207.2K%20LFF%20512e%20MDL%20SC%20DS%20HDD,VMware
