category,oem,part_number,DWPD,form_factor,capacity,mfr_part_number,part_description,interface,part_specification,part_url,store
ssd,Cisco,Micron_5400_MTFD,1,"2.5""",480 GB,16-102106-01,nan,6 Gbps,"{'Model': ['UCS-SD480GBM1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Technology Inc\t\t\t\t\t'], 'Endurance': ['1324 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class B >=1825 TBW'], 'Flash Technology': ['3D TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['480 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102106-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53729&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD480GBM1X-EV,VMware
ssd,Cisco,Micron_5400_MTFD,1,"2.5""",1920 GB,16-102108-01,nan,6 Gbps,"{'Model': ['UCS-SD19TBM1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Technology Inc\t\t\t\t\t'], 'Endurance': ['5256 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class C >=3504 TBW'], 'Flash Technology': ['3D TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['1920 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102108-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53769&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD19TBM1X-EV,VMware
ssd,Cisco,SSDPF2KE016T1O,3,"2.5""",1600 GB,16-101934-01,"Cisco SSD DC P5620 Series SSDPF2KE16T10 (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)",Gen4 x4,"{'Model': ['Cisco SSD DC P5620 Series SSDPF2KE16T10 (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)'], 'Partner Name': ['Cisco'], 'Device Type': ['NVMe'], 'Vendor Id': ['NVMe'], 'Endurance': ['8700 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [3], 'Interface Speed': ['Gen4 x4'], 'Capacity': ['1600 GB'], 'Form Factor': ['2.5""'], 'VID': ['8086'], 'DID': ['0b60'], 'SVID': ['8086'], 'SSID': ['9108'], 'Product Id': ['SSDPF2KE016T1O'], 'Series': ['D7-P5620'], 'Part Number': ['16-101934-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=54156&persona=live&column=partnerName&order=asc&redirectFrom=Cisco%20SSD%20DC%20P5620%20Series%20SSDPF2KE16T10%20%281.6TB%2C%202.5%22%20U.2%2C%20PN%3A%20UCS-NVME4-1600%2C%20UCSX-NVME4-1600%29,VMware
ssd,Cisco,KPM6XVUG3T20  ,3,"2.5""",3200 GB,16-101704-01,nan,12 Gbps,"{'Model': ['UCSX-SD32TK3X-EP'], 'Partner Name': ['Cisco'], 'Device Type': ['SAS'], 'Vendor Id': ['KIOXIA'], 'Endurance': ['17520 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['BiCS'], 'DWPD': [3], 'Interface Speed': ['12 Gbps'], 'Capacity': ['3200 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['KPM6XVUG3T20  '], 'Series': ['PM6'], 'Part Number': ['16-101704-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=49808&persona=live&column=partnerName&order=asc&redirectFrom=UCSX-SD32TK3X-EP,VMware
ssd,Cisco,MTFDDAK480TCB-1AR1ZABYY,1,"2.5""",480 GB,16-101169-01,nan,6 Gbps,"{'Model': ['UCS-SD480GBMS4-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['ATA'], 'Endurance': ['1300 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class A >=365 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['480 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['MTFDDAK480TCB-1AR1ZABYY'], 'Series': ['5100'], 'Part Number': ['16-101169-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=42999&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD480GBMS4-EV,VMware
ssd,Cisco,Micron_5400_MTFD,1,"2.5""",1920 GB,16-102102-01,nan,6 Gbps,"{'Model': ['UCS-SD19TBM1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Technology Inc\t\t\t\t\t'], 'Endurance': ['5256 TBW'], 'Performance Class': ['Class E: 30,000-99,999 Writes Per Second'], 'Endurance Class': ['Endurance Class C >=3504 TBW'], 'Flash Technology': ['3D TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['1920 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102102-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53726&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD19TBM1X-EV,VMware
ssd,Cisco,Micron_5400_MTFD,1,"2.5""",7680 GB,16-102090-01,nan,6 Gbps,"{'Model': ['UCS-SD76TBM1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SATA'], 'Vendor Id': ['Micron Technology Inc\t\t\t\t\t'], 'Endurance': ['9110 TBW'], 'Performance Class': ['Class B: 5,000-9,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['3D TLC'], 'DWPD': [1], 'Interface Speed': ['6 Gbps'], 'Capacity': ['7680 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['Micron_5400_MTFD'], 'Series': ['5400'], 'Part Number': ['16-102090-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=53728&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD76TBM1X-EV,VMware
ssd,Cisco,Micron_7450_MTFDKCC1T6TFS,3,"2.5"" (U.3)",1600 GB,16-101872-01,"1.6TB 2.5in U.3 Micron 7450 NVMe High Perf High Endurance (UCS-NVMEG4-M1600, UCSX-NVMEG4-M1600)",Gen4 x4,"{'Model': ['1.6TB 2.5in U.3 Micron 7450 NVMe High Perf High Endurance (UCS-NVMEG4-M1600, UCSX-NVMEG4-M1600)'], 'Partner Name': ['Cisco'], 'Device Type': ['NVMe'], 'Vendor Id': ['NVMe'], 'Endurance': ['8700 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [3], 'Interface Speed': ['Gen4 x4'], 'Capacity': ['1600 GB'], 'Form Factor': ['2.5"" (U.3)'], 'VID': ['1344'], 'DID': ['51c4'], 'SVID': ['1344'], 'SSID': ['3000'], 'Product Id': ['Micron_7450_MTFDKCC1T6TFS'], 'Series': ['7450'], 'Part Number': ['16-101872-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=57632&persona=live&column=partnerName&order=asc&redirectFrom=1.6TB%202.5in%20U.3%20Micron%207450%20NVMe%20High%20Perf%20High%20Endurance%20%28UCS-NVMEG4-M1600%2C%20UCSX-NVMEG4-M1600%29,VMware
ssd,Cisco,KPM7XRUG7T68,0,"2.5""",7680 GB,SDFU083JAB02T,nan,24 Gbps,"{'Model': ['UCS-SD76TKA1X-EV'], 'Partner Name': ['Cisco'], 'Device Type': ['SAS'], 'Vendor Id': ['KIOXIA'], 'Endurance': ['14016 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [0], 'Interface Speed': ['24 Gbps'], 'Capacity': ['7680 GB'], 'Form Factor': ['2.5""'], 'Product Id': ['KPM7XRUG7T68'], 'Series': ['PM7'], 'Part Number': ['SDFU083JAB02T']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=57168&persona=live&column=partnerName&order=asc&redirectFrom=UCS-SD76TKA1X-EV,VMware
ssd,Cisco,Micron_7450_MTFDKCC6T4TFS,3,"2.5"" (U.3)",6400 GB,16-101874-01,"6.4TB 2.5in U.3 Micron 7450 NVMe High Perf High Endurance(UCS-NVMEG4-M6400, UCSX-NVMEG4-M6400)",Gen4 x4,"{'Model': ['6.4TB 2.5in U.3 Micron 7450 NVMe High Perf High Endurance(UCS-NVMEG4-M6400, UCSX-NVMEG4-M6400)'], 'Partner Name': ['Cisco'], 'Device Type': ['NVMe'], 'Vendor Id': ['NVMe'], 'Endurance': ['35000 TBW'], 'Performance Class': ['Class F: 100,000-349,999 Writes Per Second'], 'Endurance Class': ['Endurance Class D >=7300 TBW'], 'Flash Technology': ['TLC'], 'DWPD': [3], 'Interface Speed': ['Gen4 x4'], 'Capacity': ['6400 GB'], 'Form Factor': ['2.5"" (U.3)'], 'VID': ['1344'], 'DID': ['51c4'], 'SVID': ['1344'], 'SSID': ['5000'], 'Product Id': ['Micron_7450_MTFDKCC6T4TFS'], 'Series': ['7450'], 'Part Number': ['16-101874-01']}",https://compatibilityguide.broadcom.com/detail?program=ssd&productId=57644&persona=live&column=partnerName&order=asc&redirectFrom=6.4TB%202.5in%20U.3%20Micron%207450%20NVMe%20High%20Perf%20High%20Endurance%28UCS-NVMEG4-M6400%2C%20UCSX-NVMEG4-M6400%29,VMware
