category,oem,part_number,mfr_part_number,missing_or_mislabeled_fields
ssd,Cisco1,Micron_5405_MTFD,16-1002106-01,Missing key(s) in part_specification: 'Capacity'
ssd,Kingston,Micron_5406_MTFD,16-1102108-01,'Flash Technology' present but mis-labeled as 'Flash' in part_specification
ssd,HPE,SSDPF2K6T1O,16-1901934-01,None
ssd,Cisco2,KPM6XVUG3767667T20,16-1101704-01,'Partner Name' present but mis-labeled as 'Partner' in part_specification
ssd,AMD,MTFDDAK484567u80TCB-1AR1ZABYY,16-1001169-01,None
hdd,123456,MB8000JE vthhhA,7937201-B21,'Minimum Firmware Version' present but mis-labeled as 'Minimum Version' in part_specification
hdd,SUN,MB014000JYCJV,"P0953-B21, P09153-K21",None
hdd,Hewlett Packa Enterprise,MB004000JWFVPP,872291-00,None
hdd,Hewlett Packard Enrise,MB014000JWWUDB,"P09155-B21 ,P09155-H21 ,P09155-K21, P09155-K21",None
hdd,Hewlett Packard Enterprise,MB006000JWQFVK,872290-0001,None
