row,productId,part_number_in_VMWARE_1,columns_with_issues,details
1,53729,Micron_5405_MTFD,6,oem: VMWARE_1='Cisco1' | playwright(correct)='Cisco' | part_number: VMWARE_1='Micron_5405_MTFD' | playwright(correct)='Micron_5400_MTFD' | mfr_part_number: VMWARE_1='16-1002106-01' | playwright(correct)='16-102106-01' | part_description: VMWARE_1='Micron' | playwright(correct)='nan' | interface: VMWARE_1='5 Gbps' | playwright(correct)='6 Gbps' | store: VMWARE_1='VMware1' | playwright(correct)='VMware'
2,53769,Micron_5406_MTFD,7,"oem: VMWARE_1='Kingston' | playwright(correct)='Cisco' | part_number: VMWARE_1='Micron_5406_MTFD' | playwright(correct)='Micron_5400_MTFD' | form_factor: VMWARE_1='2.1""' | playwright(correct)='2.5""' | capacity: VMWARE_1='19020 GB' | playwright(correct)='1920 GB' | mfr_part_number: VMWARE_1='16-1102108-01' | playwright(correct)='16-102108-01' | interface: VMWARE_1='60 Gbps' | playwright(correct)='6 Gbps' | store: VMWARE_1='Vwme' | playwright(correct)='VMware'"
3,54156,SSDPF2K6T1O,7,"oem: VMWARE_1='HPE' | playwright(correct)='Cisco' | part_number: VMWARE_1='SSDPF2K6T1O' | playwright(correct)='SSDPF2KE016T1O' | capacity: VMWARE_1='160 GB' | playwright(correct)='1600 GB' | mfr_part_number: VMWARE_1='16-1901934-01' | playwright(correct)='16-101934-01' | part_description: VMWARE_1='Cisco SSD DC P5620 Series (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)' | playwright(correct)='Cisco SSD DC P5620 Series SSDPF2KE16T10 (1.6TB, 2.5"" U.2, PN: UCS-NVME4-1600, UCSX-NVME4-1600)' | interface: VMWARE_1='Gen4 x5' | playwright(correct)='Gen4 x4' | store: VMWARE_1='Vwmare' | playwright(correct)='VMware'"
4,49808,KPM6XVUG3767667T20  ,5,oem: VMWARE_1='Cisco2' | playwright(correct)='Cisco' | part_number: VMWARE_1='KPM6XVUG3767667T20' | playwright(correct)='KPM6XVUG3T20' | capacity: VMWARE_1='320 GB' | playwright(correct)='3200 GB' | mfr_part_number: VMWARE_1='16-1101704-01' | playwright(correct)='16-101704-01' | interface: VMWARE_1='12 Gbp' | playwright(correct)='12 Gbps'
5,42999,MTFDDAK484567u80TCB-1AR1ZABYY,6,"oem: VMWARE_1='AMD' | playwright(correct)='Cisco' | part_number: VMWARE_1='MTFDDAK484567u80TCB-1AR1ZABYY' | playwright(correct)='MTFDDAK480TCB-1AR1ZABYY' | form_factor: VMWARE_1='2""' | playwright(correct)='2.5""' | capacity: VMWARE_1='4800 GB' | playwright(correct)='480 GB' | mfr_part_number: VMWARE_1='16-1001169-01' | playwright(correct)='16-101169-01' | interface: VMWARE_1='6 Gpbs' | playwright(correct)='6 Gbps'"
6,40571,MB8000JE vthhhA,7,oem: VMWARE_1='123456' | playwright(correct)='Hewlett Packard Enterprise' | part_number: VMWARE_1='MB8000JE vthhhA' | playwright(correct)='MB8000JEQVA' | DWPD: VMWARE_1='23' | playwright(correct)='nan' | capacity: VMWARE_1='800GB' | playwright(correct)='8000GB' | mfr_part_number: VMWARE_1='7937201-B21' | playwright(correct)='793701-B21' | part_description: VMWARE_1='HP 8TB 12G SAS 7.2K 3.5in 512e SD' | playwright(correct)='HP 8TB 12G SAS 7.2K 3.5in 512e MDL HDD' | interface: VMWARE_1='2 Gbps' | playwright(correct)='12 Gbps'
7,51957,MB014000JYCJV,5,"oem: VMWARE_1='SUN' | playwright(correct)='Hewlett Packard Enterprise' | DWPD: VMWARE_1='1' | playwright(correct)='nan' | capacity: VMWARE_1='1400GB' | playwright(correct)='14000GB' | mfr_part_number: VMWARE_1='P0953-B21, P09153-K21' | playwright(correct)='P09153-B21, P09153-K21' | part_description: VMWARE_1='HPE 14TB SAS 7.2K LFF DS He SC HDDD' | playwright(correct)='HPE 14TB SAS 7.2K LFF DS He SC HDD'"
8,41697,MB004000JWFVPP,6,"oem: VMWARE_1='Hewlett Packa Enterprise' | playwright(correct)='Hewlett Packard Enterprise' | part_number: VMWARE_1='MB004000JWFVPP' | playwright(correct)='MB004000JWFVP' | form_factor: VMWARE_1='3.51""' | playwright(correct)='3.5""' | capacity: VMWARE_1='400GB' | playwright(correct)='4000GB' | mfr_part_number: VMWARE_1='872291-00' | playwright(correct)='872291-002' | part_description: VMWARE_1='4TB 12G SAS 7.2K LFF MDL SC DSA HDD' | playwright(correct)='4TB 12G SAS 7.2K LFF MDL SC DS HDD'"
9,44874,MB014000JWWUDB,6,"oem: VMWARE_1='Hewlett Packard Enrise' | playwright(correct)='Hewlett Packard Enterprise' | part_number: VMWARE_1='MB014000JWWUDB' | playwright(correct)='MB014000JWUDB' | form_factor: VMWARE_1='35""' | playwright(correct)='3.5""' | capacity: VMWARE_1='1400GB' | playwright(correct)='14000GB' | mfr_part_number: VMWARE_1='P09155-B21 ,P09155-H21 ,P09155-K21, P09155-K21' | playwright(correct)='P09155-B21 ,P09155-H21 ,P09155-K21' | part_description: VMWARE_1='HPE 14TB SAS 7.2K LFF DS He SCC SSD HDD' | playwright(correct)='HPE 14TB SAS 7.2K LFF DS He SC HDD'"
10,41700,MB006000JWQFVK,3,part_number: VMWARE_1='MB006000JWQFVK' | playwright(correct)='MB006000JWFVK' | capacity: VMWARE_1='40000GB' | playwright(correct)='4000GB' | mfr_part_number: VMWARE_1='872290-0001' | playwright(correct)='872290-001'
